left_column,right_column,n_used,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,large_sample_warning,status,skip_reason
conteo_de_respuestas_a_ofertas,precio_base,429539,0.002123439041390142,0.16401841010501372,0.0697833348739851,0.0,True,ok,
conteo_de_respuestas_a_ofertas,respuestas_al_procedimiento,429541,0.18109643816181173,0.0,0.13778852103538508,0.0,True,ok,
conteo_de_respuestas_a_ofertas,score_competencia,429541,0.10189307460007326,0.0,0.13526237819255446,0.0,True,ok,
conteo_de_respuestas_a_ofertas,score_temporal,429541,0.06726370228909517,0.0,0.09996546250839243,0.0,True,ok,
conteo_de_respuestas_a_ofertas,visualizaciones_del,429541,0.05547765287466347,6.680842531694265e-290,0.1076492262532484,0.0,True,ok,
duracion,respuestas_al_procedimiento,429541,0.0007799987489248339,0.6092075778064299,-0.15575147098341374,0.0,True,ok,
duracion,visualizaciones_del,429541,-0.0007837166230540633,0.6075026032046755,-0.21252590013766584,0.0,True,ok,
duracion_dias,duracion,428958,0.9999977461619338,0.0,0.45780307979920803,0.0,True,ok,
duracion_dias,precio_base,428956,7.545897536878255e-05,0.9605833864425408,0.34224164684858377,0.0,True,ok,
duracion_dias,respuestas_al_procedimiento,428958,0.0007990814567744416,0.6007265083142478,-0.14062032082514134,0.0,True,ok,
duracion_dias,score_competencia,428958,0.003834414245650148,0.012027136645322588,-0.1401925352774635,0.0,True,ok,
duracion_dias,score_temporal,428958,0.0012831878043301395,0.4006727837196899,-0.16567065938925998,0.0,True,ok,
duracion_dias,total_interes_oferentes,428958,0.0002695791781495954,0.8598539668840323,-0.13706253472904567,0.0,True,ok,
duracion_dias,total_respuestas,428958,0.0007654123469875029,0.6161568026689443,-0.1402428995397844,0.0,True,ok,
duracion_dias,visualizaciones_del,428958,-0.0007264409578163855,0.6342308715816238,-0.15652930284358213,0.0,True,ok,
numero_de_lotes,precio_base,429539,0.00763454255290556,5.624657390821297e-07,0.12084576738481631,0.0,True,ok,
numero_de_lotes,respuestas_al_procedimiento,429541,0.04915339182127783,5.854736514944936e-228,0.06442502173368062,0.0,True,ok,
numero_de_lotes,score_competencia,429541,0.037474077479661035,2.721213911434001e-133,0.06282968140368651,0.0,True,ok,
numero_de_lotes,score_temporal,429541,0.05820296914991614,6.49854e-319,0.10509344587323183,0.0,True,ok,
numero_de_lotes,visualizaciones_del,429541,0.0471661786053509,4.7875166847655805e-210,0.10836351153181273,0.0,True,ok,
precio_base,duracion,429539,-5.074553500325515e-05,0.9734687398648066,0.11210121699942249,0.0,True,ok,
precio_base,respuestas_al_procedimiento,429539,0.022120566637006272,1.2224965456120216e-47,0.15122817465333352,0.0,True,ok,
precio_base,visualizaciones_del,429539,0.03899858036882959,3.37429648055242e-144,0.27278894206106535,0.0,True,ok,
precio_base_log,conteo_de_respuestas_a_ofertas,429539,0.028412105252760007,2.0232597412343134e-77,0.06978333487398511,0.0,True,ok,
precio_base_log,duracion,429539,-0.0025620471986669956,0.09312403254347097,0.11210121699942249,0.0,True,ok,
precio_base_log,duracion_dias,428956,-0.002838475776903771,0.06301998807519892,0.34224164684858377,0.0,True,ok,
precio_base_log,numero_de_lotes,429539,0.05182585707670715,3.238263101937618e-253,0.12084576738481631,0.0,True,ok,
precio_base_log,precio_base,429539,0.03626014407873695,6.451976618317131e-125,1.0,0.0,True,ok,
precio_base_log,proveedores_con_invitacion,429539,0.020243343583536785,3.518560377729789e-40,0.16864172372077552,0.0,True,ok,
precio_base_log,proveedores_invitados,429539,-0.4008092629408501,0.0,-0.05996572458429812,0.0,True,ok,
precio_base_log,respuestas_al_procedimiento,429539,0.039756892284545375,8.726289570936414e-150,0.15122817465333352,0.0,True,ok,
precio_base_log,score_competencia,429539,-0.05309388656419063,1.138802111636751e-265,0.14739854646210515,0.0,True,ok,
precio_base_log,score_temporal,429539,0.09935335810437791,0.0,0.27208448827204296,0.0,True,ok,
precio_base_log,total_interes_oferentes,429539,0.03710917514239674,9.585604983720753e-131,0.15289541000173945,0.0,True,ok,
precio_base_log,total_respuestas,429539,0.04002067449471391,9.375937277249246e-152,0.15162148349774063,0.0,True,ok,
precio_base_log,visualizaciones_del,429539,0.15466090301427918,0.0,0.27278894206106535,0.0,True,ok,
proveedores_con_invitacion,duracion,429541,-0.00029673565862036155,0.8458015093441519,-0.0740958674185097,0.0,True,ok,
proveedores_con_invitacion,precio_base,429539,0.0004198345403162659,0.7831967621645978,0.16864172372077552,0.0,True,ok,
proveedores_con_invitacion,respuestas_al_procedimiento,429541,0.17526068642244658,0.0,0.39214655547871063,0.0,True,ok,
proveedores_con_invitacion,score_competencia,429541,0.1711292712302655,0.0,0.4445846479002693,0.0,True,ok,
proveedores_con_invitacion,score_temporal,429541,0.12788178771761013,0.0,0.3167132967656559,0.0,True,ok,
proveedores_con_invitacion,visualizaciones_del,429541,0.27468434380368145,0.0,0.3289162338722162,0.0,True,ok,
proveedores_invitados,duracion,429541,0.00025716179961268374,0.8661570978169024,-0.12401735570589717,0.0,True,ok,
proveedores_invitados,precio_base,429539,-0.0006297838667058039,0.6797866336958236,-0.05996572458429812,0.0,True,ok,
proveedores_invitados,proveedores_con_invitacion,429541,0.04202219857370337,4.053981619188171e-167,0.7256411141371023,0.0,True,ok,
proveedores_invitados,respuestas_al_procedimiento,429541,0.03369279368662568,4.099385939801149e-108,0.42792836206406004,0.0,True,ok,
proveedores_invitados,score_competencia,429541,0.14126797770960609,0.0,0.4649588181038431,0.0,True,ok,
proveedores_invitados,score_temporal,429541,0.07748644957464194,0.0,0.408399433367702,0.0,True,ok,
proveedores_invitados,visualizaciones_del,429541,0.04915563429002119,5.583097853190563e-228,0.43964872957309276,0.0,True,ok,
score_competencia,duracion,429541,0.003813818461496198,0.012434950293371763,-0.16212756822255642,0.0,True,ok,
score_competencia,precio_base,429539,0.009451978624708292,5.833172381322131e-10,0.14739854646210512,0.0,True,ok,
score_competencia,respuestas_al_procedimiento,429541,0.4681686744225156,0.0,0.98684242148423,0.0,True,ok,
score_competencia,visualizaciones_del,429541,0.28306682185256005,0.0,0.7585187194005868,0.0,True,ok,
score_temporal,duracion,429541,0.001265458407912169,0.40689423390035817,-0.20687459707605854,0.0,True,ok,
score_temporal,precio_base,429539,0.014217432964648434,1.18064259673896e-20,0.27208448827204296,0.0,True,ok,
score_temporal,respuestas_al_procedimiento,429541,0.310536333686008,0.0,0.7669293737173672,0.0,True,ok,
score_temporal,score_competencia,429541,0.7135853909087271,0.0,0.77120111233553,0.0,True,ok,
score_temporal,visualizaciones_del,429541,0.4902155239985751,0.0,0.9825458509737174,0.0,True,ok,
total_interes_oferentes,conteo_de_respuestas_a_ofertas,429541,0.05164334843728268,1.8913545629902473e-251,0.13018631847991147,0.0,True,ok,
total_interes_oferentes,duracion,429541,0.0002515729964293015,0.8690393015866487,-0.1638950588627671,0.0,True,ok,
total_interes_oferentes,numero_de_lotes,429541,0.026936819595471503,8.929518843556714e-70,0.06270229354031681,0.0,True,ok,
total_interes_oferentes,precio_base,429539,0.01301818872818811,1.4339614432351172e-17,0.15289541000173945,0.0,True,ok,
total_interes_oferentes,proveedores_con_invitacion,429541,0.8246067545344835,0.0,0.49024214855319076,0.0,True,ok,
total_interes_oferentes,proveedores_invitados,429541,0.04931170256592484,2.035308909163441e-229,0.4878379189976655,0.0,True,ok,
total_interes_oferentes,respuestas_al_procedimiento,429541,0.6986824111715361,0.0,0.9761785780360396,0.0,True,ok,
total_interes_oferentes,score_competencia,429541,0.38909347342520983,0.0,0.9938594994513448,0.0,True,ok,
total_interes_oferentes,score_temporal,429541,0.26886716981116093,0.0,0.7649858963143477,0.0,True,ok,
total_interes_oferentes,visualizaciones_del,429541,0.4310590632178301,0.0,0.7562305788572629,0.0,True,ok,
total_respuestas,conteo_de_respuestas_a_ofertas,429541,0.26469306826308986,0.0,0.13914035393881682,0.0,True,ok,
total_respuestas,duracion,429541,0.0007431128538094704,0.6262369378113112,-0.15552473472174946,0.0,True,ok,
total_respuestas,numero_de_lotes,429541,0.05886650989325175,0.0,0.06429673229853984,0.0,True,ok,
total_respuestas,precio_base,429539,0.02191721314978054,8.450955599568663e-47,0.15162148349774066,0.0,True,ok,
total_respuestas,proveedores_con_invitacion,429541,0.17194222203709897,0.0,0.3939596864287445,0.0,True,ok,
total_respuestas,proveedores_invitados,429541,0.03410453600476469,1.0017166967320402e-110,0.42946285681800883,0.0,True,ok,
total_respuestas,respuestas_al_procedimiento,429541,0.9954955321066933,0.0,0.9998851197705867,0.0,True,ok,
total_respuestas,score_competencia,429541,0.4700764379778421,0.0,0.9867287318550721,0.0,True,ok,
total_respuestas,score_temporal,429541,0.3111442232351788,0.0,0.7666226117185817,0.0,True,ok,
total_respuestas,total_interes_oferentes,429541,0.6883443467375445,0.0,0.9752681066362199,0.0,True,ok,
total_respuestas,visualizaciones_del,429541,0.40086349380911207,0.0,0.7488351823685674,0.0,True,ok,
transparency_score,conteo_de_respuestas_a_ofertas,429541,0.07693498847927796,0.0,0.09032098695616576,0.0,True,ok,
transparency_score,duracion,429541,0.002398169195716713,0.11601020081806418,-0.2046453372926921,0.0,True,ok,
transparency_score,duracion_dias,428958,0.0023768878205432417,0.11953279435884918,-0.18946925872547313,0.0,True,ok,
transparency_score,numero_de_lotes,429541,0.04337854904788794,5.891588450597783e-178,0.07788255636553582,0.0,True,ok,
transparency_score,precio_base,429539,0.012903063138172473,2.74591025608543e-17,0.23597170868738807,0.0,True,ok,
transparency_score,precio_base_log,429539,0.1454916844041718,0.0,0.23597170868738807,0.0,True,ok,
transparency_score,proveedores_con_invitacion,429541,0.1452315651055215,0.0,0.25912757305942147,0.0,True,ok,
transparency_score,proveedores_invitados,429541,0.05866451836825538,1e-323,0.32461057128662757,0.0,True,ok,
transparency_score,respuestas_al_procedimiento,429541,0.3747048963024328,0.0,0.6653068728406027,0.0,True,ok,
transparency_score,total_interes_oferentes,429541,0.3179873572086584,0.0,0.6574876177786766,0.0,True,ok,
transparency_score,total_respuestas,429541,0.37523296770402925,0.0,0.6650524002170264,0.0,True,ok,
transparency_score,visualizaciones_del,429541,0.449368070610916,0.0,0.7924197705069721,0.0,True,ok,
visualizaciones_del,respuestas_al_procedimiento,429541,0.4045418468571615,0.0,0.7494774206982251,0.0,True,ok,
conteo_de_respuestas_a_ofertas,numero_de_lotes,429541,0.12297938454357628,0.0,0.05495316654557527,1.769313536712511e-284,True,ok,
duracion_dias,proveedores_invitados,428958,0.0002723383598001893,0.8584346226086074,-0.04876318490469292,4.415326450016387e-224,True,ok,
numero_de_lotes,duracion,429541,-0.0003147463634892048,0.8365704724467428,-0.02295598990965804,3.604209336362466e-51,True,ok,
conteo_de_respuestas_a_ofertas,duracion,429541,-0.00013539500090892635,0.9292910992991322,-0.021823487235926673,2.0469580186116336e-46,True,ok,
duracion_dias,conteo_de_respuestas_a_ofertas,428958,-0.00013704445638409256,0.928480439726825,-0.017170397220193798,2.4088826186581284e-29,True,ok,
proveedores_invitados,conteo_de_respuestas_a_ofertas,429541,-0.003523166737228774,0.02094014143083761,-0.013284758501221624,3.1172915264509455e-18,True,ok,
proveedores_con_invitacion,numero_de_lotes,429541,0.006568978977744615,1.667582010240184e-05,0.013241382652810017,4.0040628643183946e-18,True,ok,
proveedores_con_invitacion,conteo_de_respuestas_a_ofertas,429541,-0.0021873097176173016,0.15170165866647817,-0.009904673861976585,8.492842783463659e-11,True,ok,
duracion_dias,numero_de_lotes,428958,-0.00030078176012941207,0.8438305903684543,-0.00849386329157078,2.6497811197550625e-08,True,ok,
proveedores_invitados,numero_de_lotes,429541,-0.008276687532922752,5.809532594181677e-08,-0.0059117530944844555,0.00010682245641785173,True,ok,
duracion_dias,proveedores_con_invitacion,428958,-0.00028507912959774235,0.8518866753748399,0.001763038425203484,0.2482143126928137,True,ok,
